metric,term,coef,stderr,pvalue,conf_low,conf_high,nobs,r2
self_bleu,is_rlvr,-0.8754614219147058,0.03990995247702892,4.234193537421112e-84,-0.9538004041991502,-0.7971224396302613,832,0.919167577349047
self_bleu,is_female:is_sft,0.09939362698225673,0.056441196066680493,0.07861318603567326,-0.011394424226911198,0.21018167819142466,832,0.919167577349047
self_bleu,is_female:is_dpo,0.14096267506717744,0.05644119606668033,0.01270389738100094,0.030174623858009827,0.25175072627634504,832,0.919167577349047
self_bleu,is_female:is_rlvr,0.15382942504505778,0.05644119606668029,0.006559180308856069,0.04304137383589024,0.2646174762542253,832,0.919167577349047
self_bleu,temperature_z,-0.8813841233039961,0.009983489616413004,0.0,-0.9009806491742604,-0.8617875974337318,832,0.919167577349047
semantic_div,Intercept,-0.4955305346165436,0.10370511883807482,2.098714161731679e-06,-0.6990926278597813,-0.29196844137330585,832,0.5633700240067303
semantic_div,C(occupation)[T.author],0.21321399058117468,0.1182420279561589,0.07172791139964978,-0.018882505616504924,0.4453104867788543,832,0.5633700240067303
semantic_div,C(occupation)[T.carpenter],-0.3667403037405358,0.11824202795615316,0.001991374256883256,-0.5988367999382042,-0.13464380754286745,832,0.5633700240067303
semantic_div,C(occupation)[T.doctor],0.2682799374248512,0.11824202795615739,0.023536068388747635,0.03618344122717454,0.5003764336225278,832,0.5633700240067303
semantic_div,C(occupation)[T.engineer],0.19477208260173504,0.11824202795616129,0.09989769100482368,-0.03732441359594926,0.4268685787994193,832,0.5633700240067303
semantic_div,C(occupation)[T.mechanic],-0.016768534377551887,0.11824202795615595,0.8872610808733501,-0.2488650305752257,0.21532796182012193,832,0.5633700240067303
semantic_div,C(occupation)[T.nurse],0.016323014077971498,0.11824202795615912,0.8902371598510628,-0.21577348211970857,0.24841951027565154,832,0.5633700240067303
semantic_div,C(occupation)[T.politician],-0.10552263501009615,0.11824202795615889,0.3724276555892334,-0.33761913120777576,0.12657386118758343,832,0.5633700240067303
semantic_div,C(occupation)[T.professor],0.8752115020470922,0.11824202795615833,3.3630409823660713e-13,0.6431150058494137,1.1073079982447707,832,0.5633700240067303
semantic_div,C(occupation)[T.programmer],-0.27751509829157234,0.1182420279561596,0.019164456513942336,-0.5096115944892533,-0.04541860209389137,832,0.5633700240067303
semantic_div,C(occupation)[T.scientist],0.28194807372052133,0.11824202795615875,0.01733130595187627,0.049851577522842,0.5140445699182007,832,0.5633700240067303
semantic_div,C(occupation)[T.secretary],-0.12482546594487609,0.11824202795615936,0.291429888789013,-0.3569219621425566,0.10727103025280443,832,0.5633700240067303
semantic_div,C(occupation)[T.teacher],0.29023326703342667,0.1182420279561597,0.014314440113719839,0.05813677083574548,0.5223297632311079,832,0.5633700240067303
semantic_div,is_female,0.20242178620562987,0.09275667813465253,0.02937454930020263,0.02035031495201617,0.38449325745924356,832,0.5633700240067303
semantic_div,is_sft,0.9278967663315557,0.09275667813465288,2.7051372202928046e-22,0.7458252950779414,1.10996823758517,832,0.5633700240067303
semantic_div,is_dpo,0.5971724440812137,0.09275667813465277,2.0701475209860975e-10,0.41510097282759956,0.7792439153348278,832,0.5633700240067303
semantic_div,is_rlvr,0.7873601740824056,0.09275667813465208,9.904147163946893e-17,0.6052887028287928,0.9694316453360183,832,0.5633700240067303
semantic_div,is_female:is_sft,-0.7660373079619799,0.13117775221870204,7.56454113733102e-09,-1.0235252519300646,-0.5085493639938953,832,0.5633700240067303
semantic_div,is_female:is_dpo,-0.7186609294323202,0.13117775221870165,5.725708238020868e-08,-0.976148873400404,-0.46117298546423635,832,0.5633700240067303
semantic_div,is_female:is_rlvr,-0.753978679561347,0.13117775221870157,1.279820072492267e-08,-1.0114666235294307,-0.49649073559326334,832,0.5633700240067303
semantic_div,temperature_z,0.6090509185212182,0.02320311790757613,2.086578735504305e-110,0.5635056715367296,0.6545961655057068,832,0.5633700240067303
mean_entropy,Intercept,-0.0002838481082719944,0.01845472042836362,0.987732174925578,-0.03650849702345353,0.03594080080690955,832,0.986172995572382
mean_entropy,C(occupation)[T.author],0.015714352207817434,0.021041618709495294,0.4553872196258032,-0.025588102268116825,0.0570168066837517,832,0.986172995572382
mean_entropy,C(occupation)[T.carpenter],0.03536496014157349,0.02104161870949427,0.0932033867353586,-0.0059374943343587575,0.07666741461750573,832,0.986172995572382
mean_entropy,C(occupation)[T.doctor],-0.015500729630105198,0.021041618709495023,0.4615360839723785,-0.05680318410603892,0.025801724845828527,832,0.986172995572382
mean_entropy,C(occupation)[T.engineer],-0.08881881239916779,0.021041618709495717,2.705962639644537e-05,-0.1301212668751029,-0.04751635792323271,832,0.986172995572382
mean_entropy,C(occupation)[T.mechanic],0.041803875635071916,0.021041618709494767,0.04728917394391898,0.0005014211591386902,0.08310633011100514,832,0.986172995572382
mean_entropy,C(occupation)[T.nurse],-0.06904347615613622,0.021041618709495332,0.0010775229533206527,-0.11034593063207054,-0.027741021680201892,832,0.986172995572382
mean_entropy,C(occupation)[T.politician],-0.026803169175298253,0.02104161870949529,0.20309325240381343,-0.0681056236512325,0.014499285300636,832,0.986172995572382
mean_entropy,C(occupation)[T.professor],-0.04017304570033934,0.02104161870949519,0.05658656420147421,-0.08147550017627339,0.0011294087755947119,832,0.986172995572382
mean_entropy,C(occupation)[T.programmer],-0.09745532399647394,0.021041618709495415,4.226123383056756e-06,-0.13875777847240844,-0.056152869520539446,832,0.986172995572382
mean_entropy,C(occupation)[T.scientist],-0.015156516391588356,0.021041618709495266,0.4715408798115421,-0.05645897086752256,0.02614593808434585,832,0.986172995572382
mean_entropy,C(occupation)[T.secretary],0.01897417492156903,0.021041618709495374,0.36746004988678016,-0.022328279554365383,0.060276629397503445,832,0.986172995572382
mean_entropy,C(occupation)[T.teacher],-0.0891842809617565,0.021041618709495436,2.509101947882284e-05,-0.13048673543769104,-0.04788182648582196,832,0.986172995572382
mean_entropy,is_female,-0.019764756262014575,0.016506403753430182,0.23150081752450535,-0.052165067236178836,0.01263555471214969,832,0.986172995572382
mean_entropy,is_sft,-0.0360695090193991,0.016506403753430245,0.029160916134444482,-0.06846981999356348,-0.0036691980452347173,832,0.986172995572382
mean_entropy,is_dpo,0.11265970226090043,0.016506403753430224,1.7192333451412704e-11,0.08025939128673608,0.1450600132350648,832,0.986172995572382
mean_entropy,is_rlvr,-0.034367115682258025,0.0165064037534301,0.03765112545555147,-0.06676742665642213,-0.0019668047080939263,832,0.986172995572382
mean_entropy,is_female:is_sft,0.14376528238606165,0.023343580054107214,1.1536510177742706e-09,0.09794432318129254,0.18958624159083076,832,0.986172995572382
mean_entropy,is_female:is_dpo,0.017913327708626428,0.02334358005410715,0.44308071152184925,-0.027907631496142546,0.0637342869133954,832,0.986172995572382
mean_entropy,is_female:is_rlvr,0.03845303947326252,0.02334358005410713,0.09989116356975537,-0.0073679197315064185,0.08427399867803145,832,0.986172995572382
mean_entropy,temperature_z,0.9900428132858037,0.004129083104559934,0.0,0.981937863314608,0.9981477632569994,832,0.986172995572382
