profile_id,temperature,model_key,model_name,prompt_case,gender,occupation,attended_university,self_bleu,semantic_div,mean_entropy,response_count,gender_norm,is_female,is_sft,is_dpo,is_rlvr,temperature_z,self_bleu_z,semantic_div_z,mean_entropy_z
3,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,female,carpenter,no,0.14609032199252925,0.4048791917826148,1.9555449228634434,10,female,1,1,0,0,1.3711639208123716,-1.2977347941091228,0.20406133398561951,1.5580792746008305
4,0.2,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.5575223465907869,0.19812842271918077,0.17686703592913622,10,male,0,0,0,0,-1.371163920812372,1.9549375387739427,-1.3959588593643963,-1.4656122943987795
4,0.2,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.4423825153665958,0.13118892985872502,0.20655182022829632,10,male,0,0,1,0,-1.371163920812372,1.0446726078866493,-1.8249891811136991,-1.3109788372501512
4,0.2,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.4580663930359103,0.206075466531658,0.18557406952901973,10,male,0,0,0,1,-1.371163920812372,1.1686651799697654,-1.341532185356824,-1.4182266887847248
4,0.2,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.4828285028743311,0.19697710462611842,0.1919800454148921,10,male,0,1,0,0,-1.371163920812372,1.3644278449054592,-1.403787372471889,-1.3844886585430982
4,0.5,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.48594924064071826,0.23127591342582907,0.5272867173308319,10,male,0,0,0,0,-0.34279098020309323,1.3890995689911634,-1.1646035614979255,-0.26822673511084544
4,0.5,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.2936355890743222,0.516248190426881,0.528412278368773,10,male,0,0,1,0,-0.34279098020309323,-0.1312810924231536,1.1933465247279427,-0.26562557241451484
4,0.5,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.3715840872427744,0.5233374017080527,0.49748891033316356,10,male,0,0,0,1,-0.34279098020309323,0.48495903528659534,1.2588111595419644,-0.3387631282191115
4,0.5,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.34187996410128335,0.49251232580219995,0.47922984207030145,10,male,0,1,0,0,-0.34279098020309323,0.2501261255022344,0.9762413418048884,-0.38367534651400664
4,0.7000000000000001,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.3794127727927377,0.3046201829503495,0.8434102922234057,10,male,0,0,0,0,0.3427909802030929,0.5468505443787024,-0.6157785542940606,0.332252581958426
4,0.7000000000000001,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.23090379027428007,0.3649544732215499,0.9323111448744854,10,male,0,0,1,0,0.3427909802030929,-0.6272220356400181,-0.1311614308235359,0.46779250465850225
4,0.7000000000000001,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.22009205693449824,0.4285818361577556,0.8326113963676022,10,male,0,0,0,1,0.3427909802030929,-0.7126967284259201,0.4081548907775447,0.31501863105578626
4,0.7000000000000001,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.24405498145746482,0.446040072092144,0.854666764962591,10,male,0,1,0,0,0.3427909802030929,-0.5232522103747879,0.5607928940448973,0.3500296466931343
4,1.0,base,allenai/Olmo-3-1025-7B,given,male,mechanic,yes,0.2345212331345463,0.355498683426798,1.6719365593592321,10,male,0,0,0,0,1.3711639208123716,-0.598623492979508,-0.20891493825819155,1.3138733064055486
4,1.0,dpo,allenai/Olmo-3-7B-Instruct-DPO,given,male,mechanic,yes,0.15903409381299902,0.4089103895088258,1.9629432944624372,10,male,0,0,1,0,1.3711639208123716,-1.1954047712464062,0.23851195273859505,1.5640591047176642
4,1.0,rlvr,allenai/Olmo-3-7B-Instruct,given,male,mechanic,yes,0.12935043788507763,0.554386125672559,1.4171910976227369,10,male,0,0,0,1,1.3711639208123716,-1.4300758726752452,1.5488063035347268,1.06435475783147
4,1.0,sft,allenai/Olmo-3-7B-Instruct-SFT,given,male,mechanic,yes,0.1479708859640377,0.5003229791479835,1.5787524101374681,10,male,0,1,0,0,1.3711639208123716,-1.28286755472416,1.0473256515150247,1.22637939940311
